Poštanski broj,Poštanski ured,Adresa,Mjesto
10000,Zagreb,Branimirova 4,ZAGREB
10004,Zagreb-Carina,Poštanska ulica 9,Velika Gorica
10010,Zagreb-Sloboština,V. Varićaka 13,ZAGREB
10020,Zagreb-Novi Zagreb,Siget 18 C,ZAGREB
10040,Zagreb-Dubrava,Dubrava 53,ZAGREB
10090,Zagreb-Susedgrad,Ilica 508,ZAGREB
10101,Zagreb,Jurišićeva 13,ZAGREB
10103,Zagreb,Basaričekova 11,ZAGREB
10104,Zagreb,Hrgovići 55,ZAGREB
10105,Zagreb,Britanski trg 12,ZAGREB
10106,Zagreb,Gundulićeva 8,ZAGREB
10108,Zagreb,Kraljevićeva  28,ZAGREB
10109,Zagreb,Prilaz baruna Filipovića 18,ZAGREB
10110,Zagreb,Ozaljska 152,ZAGREB
10111,Zagreb,Ulica Ante Topića Mimare 39A,ZAGREB
10112,Zagreb,Nova Ves 57,ZAGREB
10113,Zagreb,Zvonimirova 38,ZAGREB
10114,Zagreb,Folnegovićeva 5,ZAGREB
10115,Zagreb,Savska 17,ZAGREB
10116,Zagreb,Ulica grada Vukovara 86,ZAGREB
10119,Zagreb,"TC Point Centar Vrbani, Rudeška cesta 169 A",ZAGREB
10120,Zagreb,Črnomerec 1,ZAGREB
10121,Zagreb,J. Laurenčića 8 C,ZAGREB
10122,Zagreb,Nova cesta 39,ZAGREB
10123,Zagreb,Mandrovićeva 3,ZAGREB
10124,Zagreb,Albaharijeva 7,ZAGREB
10126,Zagreb,Ulica grada Vukovara 35,ZAGREB
10128,Zagreb,"TC Garden Mall, Rudolfa Kolaka 14",ZAGREB
10129,Zagreb,Meštrovićev trg bb,ZAGREB
10130,Zagreb,Petrinjska 30,ZAGREB
10131,Zagreb,Gruška 18,ZAGREB
10132,Zagreb,"City Centar One Zagreb East, Slavonska avenija 11D",ZAGREB
10133,Zagreb,Meksička bb,ZAGREB
10134,Zagreb,"TC Prečko, Slavenskog 1",ZAGREB
10135,Zagreb,Trg S. Konzula 4,ZAGREB
10136,Zagreb,Heinzlova 98,ZAGREB
10137,Zagreb,"TC Arena Zagreb, Vice Vukova 6",ZAGREB
10138,Zagreb,Dragutina Golika 28,ZAGREB
10139,Zagreb,B. Magovca 31,ZAGREB
10140,Zagreb,Braće Domany 8,ZAGREB
10141,Zagreb,Vile Velebita 6,ZAGREB
10142,Zagreb,Trg Johna Fitzgeralda Kennedya  11,ZAGREB
10144,Zagreb,Savska 41,ZAGREB
10145,Zagreb,Jablanska 24,ZAGREB
10146,Zagreb,Ivana Šibla 22,ZAGREB
10147,Zagreb,Trg I. Kukuljevića 5,ZAGREB
10148,Zagreb,Maksimirska 286,ZAGREB
10150,Zagreb-Zračna luka,Rudolfa Fizira 1,VELIKA GORICA
10151,Zagreb,Avenija Marina Držića 4,ZAGREB
10153,Zagreb,Šeferova 4,ZAGREB
10156,Zagreb,Prisavlje 14,ZAGREB
10158,Zagreb,"TC City Centar One Zagreb West, Jankomir 33",ZAGREB
10160,Zagreb,"TC Avenue Mall, Avenija Dubrovnik 16",ZAGREB
10162,Zagreb,Vijenac Frane Gotovca 5,ZAGREB
10163,Zagreb,Avenija Dubrovnik 32,ZAGREB
10166,Zagreb,Brežovanka 2 A,ZAGREB
10168,Zagreb,Šestinski trg 10,ZAGREB
10169,Zagreb,Donje Svetice 42,ZAGREB
10172,Zagreb,Podsusedski trg 14 B,ZAGREB
10173,Zagreb,Trg narodne zaštite 1,ZAGREB
10174,Zagreb,"TC Super Konzum Dubec, Avenija Dubrava 241, Zagreb",ZAGREB
10175,Zagreb,"TC Supernova Buzin, Avenija Većeslava Holjevca 62",ZAGREB
10250,Lučko,Puškarićeva 15,LUČKO
10251,Hrvatski Leskovac,Trg Hrvatskih branitelja Domovinskog rata 1,HRVATSKI LESKOVAC
10252,Kupinečki Kraljevec,Kraljevečki Brijegi 69,KUPINEČKI KRALJEVEC
10253,Donji Dragonožec,Turopoljska cesta 12,DONJI DRAGONOŽEC
10254,Odra,Odranska 82,ODRA
10255,Gornji Stupnik,Gornjostupnička 33,GORNJI STUPNIK
10256,Botinec,Šegrta Hlapića Bb,BOTINEC
10257,Brezovica,Brezovička cesta 100,BREZOVICA
10290,Zaprešić,D. Švajcara 5,ZAPREŠIĆ
10291,Prigorje Brdovečko,Zagrebačka 29,PRIGORJE BRDOVEČKO
10292,Šenkovec,Zagrebačka 45,ŠENKOVEC
10293,Dubravica,Pavla Štoosa 16 A,DUBRAVICA
10294,Donja Pušća,Kumrovečka 104,PUŠĆA
10295,Kupljenovo,Matije Gupca 53 A,KUPLJENOVO
10296,Luka,Trg svetog Roka 1,LUKA
10297,Jakovlje,Stubička 4,JAKOVLJE
10298,Bistra,Pešćenka 3,DONJA BISTRA
10299,Marija Gorica,Gorička 18 A,MARIJA GORICA
10310,Ivanić Grad,Moslavačka 14,IVANIĆ GRAD
10311,Posavski Bregi,Savska 68,POSAVSKI BREGI
10312,Kloštar Ivanić,Zagrebačka 2,KLOŠTAR IVANIĆ
10313,Graberje Ivaničko,Zagrebačka 40,GRABERJE IVANIĆKO
10314,Križ,Zagrebačka 15,KRIŽ
10315,Novoselec,Kolodvorska 8,NOVOSELEC
10316,Lijevi Dubrovčak,Ulica braće Radića 4A,LIJEVI DUBROVČAK
10340,Vrbovec,Trg P. Zrinskog 12,VRBOVEC
10342,Dubrava,Braće Radić 2,DUBRAVA
10344,Farkaševac,Farkaševac 43,FARKAŠEVAC
10345,Gradec,Gradec 135,GRADEC
10346,Preseka,Preseka 57,PRESEKA
10347,Rakovec,Rakovec 54,RAKOVEC
10360,Sesvete,Varaždinska 1,SESVETE
10361,Sesvete-Kraljevec,Dugoselska 35,SESVETSKI KRALJEVEC
10362,Kašina,Ivana Mažuranića 67 A,KAŠINA
10363,Belovar,Varaždinska 47,BELOVAR
10365,Sesvete,Ljubičica 33,SESVETE
10370,Dugo Selo,J. Zorića 26,DUGO SELO
10372,Rugvica,Trg dr. Franje Tuđmana 1,RUGVICA
10373,Ivanja Reka,Marofska 1A,IVANJA REKA
10380,Sveti Ivan Zelina,Zagrebačka 5,SV. IVAN ZELINA
10381,Bedenica,Bedenica 112 A,BEDENICA
10382,Donja Zelina,Donjozelinska 107,DONJA ZELINA
10383,Komin,Komin 34 A,KOMIN
10407,Šćitarjevo,Šćitarjevo 70,ŠĆITARJEVO
10408,Velika Mlaka,A. Grahovara 10,VELIKA MLAKA
10409,Velika Gorica,Trg kralja Tomislava 34,VELIKA GORICA
10410,Velika Gorica,Slavka Kolara 15,VELIKA GORICA
10411,Orle,Orle 5,ORLE
10412,Donja Lomnica,Stepanska 10,DONJA LOMNICA
10413,Kravarsko,Trg Stjepana Radića 1,KRAVARSKO
10414,Pokupsko,Pokupsko 25A,POKUPSKO
10415,Novo Čiče,Velokogorička Bb,NOVO ČIČE
10417,Buševec,Trg seljačke sloge 9,VELIKA GORICA
